carat colour clarity cut cost certificate       
0.636 	E 	VVS1 	3EX  	345750 	GIA 
0.627 	E 	VVS1 	3EX  	332480 	
0.620 	E 	VVS1 	3EX  	336910 	GIA 
0.611 	E 	VVS1 	3EX  	336170 	sold
0.608 	E 	VVS1 	3EX  	322160 	
0.607 	E 	VVS1 	3EX  	330270 	sold
0.607 	E 	VVS1 	3EX  	322160 	
0.671 	E 	VVS2 	3EX  	350910 	
0.655 	E 	VVS2 	3EX  	338380 	
0.643 	E 	VVS2 	3EX  	340590 	GIA 
0.638 	E 	VVS2 	3EX  	329530 	
0.619 	E 	VVS2 	3EX  	323640 	
0.615 	E 	VVS2 	3EX  	325850 	sold
0.613 	E 	VVS2 	3EX  	314790 	GIA 
0.611 	E 	VVS2 	3EX  	323640 	GIA 
0.605 	E 	VVS2 	3EX  	320690 	GIA 
0.626 	E 	VS1 	3EX  	289720 	GIA 
0.619 	E 	VS1 	3EX  	286040 	
0.612 	E 	VS1 	3EX  	291200 	GIA 
0.611 	E 	VS1 	3EX  	278670 	
0.610 	E 	VS1 	3EX  	294150 	GIA 
0.609 	E 	VS1 	3EX  	277190 	
0.608 	E 	VS1 	3EX  	277190 	
0.603 	E 	VS1 	3EX  	274980 	
0.602 	E 	VS1 	3EX  	278670 	
0.631 	E 	VS2 	3EX  	266130 	
0.627 	E 	VS2 	3EX  	264660 	
0.626 	E 	VS2 	3EX  	263920 	
0.619 	E 	VS2 	3EX  	260970 	
0.612 	E 	VS2 	3EX  	258020 	
0.611 	E 	VS2 	3EX  	257290 	
0.605 	E 	VS2 	3EX  	267610 	sold
0.650 	F 	SI1 	3EX  	234430 	
0.607 	E 	SI2 	3EX  	185780 	
0.607 	F 	IF 	3EX  	328800 	
0.648 	F 	VVS1 	3EX  	334690 	
0.639 	F 	VVS1 	3EX  	321420 	
0.654 	F 	VVS2 	3EX  	313310 	
0.629 	F 	VVS2 	3EX  	300780 	
0.611 	F 	VVS1 	3EX  	308150 	
0.641 	F 	VVS2 	3EX  	301520 	
0.635 	F 	VVS2 	3EX  	311100 	sold
0.615 	F 	VVS2 	3EX  	294150 	
0.606 	F 	VVS2 	3EX  	289720 	sold
0.602 	F 	VVS2 	3EX  	282350 	
0.601 	F 	VVS2 	3EX  	287510 	
0.649 	F 	VS1 	3EX  	277930 	
0.631 	F 	VS1 	3EX  	270560 	
0.631 	F 	VS1 	3EX  	270560 	
0.629 	F 	VS1 	3EX  	269080 	
0.618 	F 	VS1 	3EX  	264660 	sold
0.603 	F 	VS1 	3EX  	258020 	
0.635 	F 	VS2 	3EX  	258760 	sold
0.611 	F 	SI1 	3EX  	195360 	
0.609 	F 	SI1 	3EX  	194630 	
0.655 	G 	IF 	3EX  	356070 	GIA 
0.614 	G 	VVS1 	3EX  	283830 	GIA 
0.607 	G 	VVS2 	3EX  	260240 	
0.631 	G 	VS1 	3EX  	240330 	
0.611 	G 	VS1 	3EX  	232960 	
0.605 	G 	VS1 	3EX  	230750 	
0.605 	G 	VS1 	3EX  	230750 	
0.629 	G 	VS2 	3EX  	230750 	sold
0.621 	G 	VS2 	3EX  	236650 	
0.663 	G 	SI1 	3EX  	207160 	
0.656 	G 	SI1 	3EX  	196100 	
0.625 	G 	SI1 	3EX  	187250 	
0.623 	G 	SI1 	3EX  	186520 	sold
0.616 	G 	SI1 	3EX  	184300 	sold
0.614 	G 	SI1 	3EX  	183570 	
0.635 	G 	SI2 	3EX  	176930 	sold
0.634 	G 	SI2 	3EX  	176930 	sold
0.614 	G 	SI2 	3EX  	167350 	
0.558 	D 	FL 	3EX  	629570 	
0.511 	D 	FL 	3EX  	576500 	
0.577 	D 	IF 	3EX  	462970 	GIA 
0.547 	D 	IF 	3EX  	438640 	GIA 
0.543 	D 	IF 	3EX  	435690 	GIA 
0.536 	D 	IF 	3EX  	424630 	
0.534 	D 	IF 	3EX  	428320 	GIA 
0.531 	D 	IF 	3EX  	406940 	
0.522 	D 	IF 	3EX  	407680 	
0.507 	D 	IF 	3EX  	399570 	
0.587 	D 	VVS1 	3EX  	384820 	GIA 
0.575 	D 	VVS1 	3EX  	375240 	GIA 
0.566 	D 	VVS1 	3EX  	346490 	
0.552 	D 	VVS1 	3EX  	360500 	GIA 
0.545 	D 	VVS1 	3EX  	355340 	GIA 
0.533 	D 	VVS1 	3EX  	325850 	
0.529 	D 	VVS1 	3EX  	323640 	
0.514 	D 	VVS1 	3EX  	325110 	
0.508 	D 	VVS1 	3EX  	324370 	sold
0.505 	D 	VVS1 	3EX  	329530 	GIA 
0.502 	D 	VVS1 	3EX  	327320 	GIA 
0.556 	D 	VVS2 	3EX  	283830 	sold
0.544 	D 	VVS2 	3EX  	277190 	
0.532 	D 	VVS2 	3EX  	271290 	
0.520 	D 	VVS2 	3EX  	261710 	sold
0.550 	D 	VS1 	3EX  	254340 	
0.548 	D 	VS1 	3EX  	260970 	sold
0.544 	D 	VS1 	3EX  	251390 	sold
0.533 	D 	VS1 	3EX  	246230 	sold
0.515 	D 	VS1 	3EX  	239590 	
0.511 	D 	VS1 	3EX  	236650 	
0.502 	D 	VS1 	3EX  	238860 	
0.549 	D 	VS2 	3EX  	246230 	GIA 
0.546 	D 	VS2 	3EX  	244760 	GIA 
0.544 	D 	VS2 	3EX  	229270 	
0.525 	D 	VS2 	3EX  	214530 	
0.518 	D 	VS2 	3EX  	225590 	GIA 
0.513 	D 	VS2 	3EX  	219690 	
0.562 	D 	SI1 	3EX  	194630 	
0.523 	D 	SI1 	3EX  	181360 	
0.515 	D 	SI1 	3EX  	178410 	
0.508 	D 	SI1 	3EX  	176200 	
0.506 	D 	SI1 	3EX  	175460 	
0.577 	E 	IF 	3EX  	345010 	GIA 
0.573 	E 	IF 	3EX  	311840 	
0.570 	E 	IF 	3EX  	340590 	GIA 
0.544 	E 	IF 	3EX  	295620 	
0.515 	E 	IF 	3EX  	280140 	
0.511 	E 	IF 	3EX  	271290 	
0.510 	E 	IF 	3EX  	277190 	
0.509 	E 	IF 	3EX  	275720 	
0.542 	E 	VVS1 	3EX  	261710 	
0.537 	E 	VVS1 	3EX  	263190 	sold
0.533 	E 	VVS1 	3EX  	260970 	
0.526 	E 	VVS1 	3EX  	253600 	
0.526 	E 	VVS1 	3EX  	253600 	sold
0.524 	E 	VVS1 	3EX  	256550 	
0.522 	E 	VVS1 	3EX  	269820 	GIA 
0.521 	E 	VVS1 	3EX  	255080 	sold
0.521 	E 	VVS1 	3EX  	255080 	
0.565 	E 	VVS2 	3EX  	280880 	GIA 
0.553 	E 	VVS2 	3EX  	286040 	GIA 
0.547 	E 	VVS2 	3EX  	271290 	GIA 
0.541 	E 	VVS2 	3EX  	257290 	
0.522 	E 	VVS2 	3EX  	248440 	
0.510 	E 	VVS2 	3EX  	252860 	GIA 
0.509 	E 	VVS2 	3EX  	242540 	sold
0.505 	E 	VVS2 	3EX  	250650 	GIA 
0.549 	E 	VS1 	3EX  	229270 	
0.545 	E 	VS1 	3EX  	227800 	
0.535 	E 	VS1 	3EX  	232960 	GIA 
0.522 	E 	VS1 	3EX  	218220 	
0.500 	E 	VS1 	3EX  	210840 	sold
0.585 	E 	VS2 	3EX  	230750 	
0.547 	E 	VS2 	3EX  	206420 	
0.539 	E 	VS2 	3EX  	204950 	
0.538 	E 	VS2 	3EX  	197570 	
0.530 	E 	VS2 	3EX  	199790 	
0.524 	E 	VS2 	3EX  	203470 	
0.520 	E 	VS2 	3EX  	218950 	GIA 
0.516 	E 	VS2 	3EX  	196840 	
0.567 	E 	SI1 	3EX  	200520 	GIA 
0.529 	E 	SI1 	3EX  	165870 	
0.517 	E 	SI1 	3EX  	165140 	
0.515 	E 	SI1 	3EX  	175460 	GIA 
0.508 	E 	SI1 	3EX  	159240 	
0.503 	E 	SI1 	3EX  	171040 	GIA 
0.575 	E 	SI2 	3EX  	187990 	GIA 
0.516 	E 	SI2 	3EX  	165140 	
0.524 	F 	IF 	3EX  	285300 	GIA 
0.519 	F 	IF 	3EX  	282350 	
0.516 	F 	IF 	3EX  	280880 	
0.511 	F 	IF 	3EX  	281620 	
0.561 	F 	VVS1 	3EX  	278670 	GIA 
0.555 	F 	VVS1 	3EX  	275720 	GIA 
0.554 	F 	VVS1 	3EX  	274980 	GIA 
0.538 	F 	VVS1 	3EX  	262450 	
0.530 	F 	VVS1 	3EX  	263190 	GIA 
0.523 	F 	VVS1 	3EX  	252130 	
0.509 	F 	VVS1 	3EX  	245490 	
0.561 	F 	VVS2 	3EX  	240330 	
0.538 	F 	VVS2 	3EX  	230750 	
0.527 	F 	VVS2 	3EX  	236650 	
0.524 	F 	VVS2 	3EX  	235170 	
0.522 	F 	VVS2 	3EX  	227800 	
0.510 	F 	VVS2 	3EX  	225590 	sold
0.550 	F 	VS1 	3EX  	217480 	
0.520 	F 	VS1 	3EX  	204950 	
0.517 	F 	VS1 	3EX  	204210 	
0.513 	F 	VS1 	3EX  	202730 	sold
0.513 	F 	VS1 	3EX  	195360 	
0.545 	F 	VS2 	3EX  	200520 	
0.531 	F 	VS2 	3EX  	195360 	
0.522 	F 	VS2 	3EX  	191680 	
0.516 	F 	VS2 	3EX  	182830 	
0.589 	F 	SI1 	3EX  	184300 	
0.583 	F 	SI1 	3EX  	182090 	sold
0.561 	F 	SI1 	3EX  	171770 	
0.553 	F 	SI1 	3EX  	176930 	sold
0.549 	F 	SI1 	3EX  	175460 	sold
0.544 	F 	SI1 	3EX  	166610 	
0.519 	F 	SI1 	3EX  	159240 	
0.503 	F 	SI1 	3EX  	157770 	
0.545 	G 	IF 	3EX  	259500 	
0.525 	F 	SI2 	3EX  	143020 	
0.500 	G 	IF 	3EX  	244760 	GIA 
0.536 	G 	VVS1 	3EX  	204210 	
0.519 	G 	VVS1 	3EX  	197570 	
0.504 	G 	VVS1 	3EX  	191680 	
0.518 	G 	VVS2 	3EX  	190200 	GIA 
0.507 	G 	VVS2 	3EX  	179140 	sold
0.547 	G 	VS1 	3EX  	190200 	sold
0.543 	G 	VS1 	3EX  	190940 	
0.534 	G 	VS1 	3EX  	187990 	sold
0.531 	G 	VS1 	3EX  	186520 	GIA 
0.529 	G 	VS1 	3EX  	171040 	sold
0.524 	G 	VS1 	3EX  	184300 	
0.559 	G 	SI1 	3EX  	159980 	sold
0.559 	G 	SI1 	3EX  	167350 	
0.542 	G 	SI1 	3EX  	154820 	
0.520 	G 	SI1 	3EX  	148920 	
0.519 	G 	SI1 	3EX  	148180 	
0.514 	G 	SI1 	3EX  	146710 	
0.513 	G 	SI1 	3EX  	146710 	
0.537 	G 	SI2 	3EX  	138600 	
0.533 	G 	SI2 	3EX  	145230 	
0.520 	G 	SI2 	3EX  	148920 	
0.507 	G 	SI2 	3EX  	145230 	
0.576 	H 	IF 	3EX  	289720 	GIA 
0.524 	H 	VVS1 	3EX  	213790 	GIA 
0.575 	H 	VS1 	3EX  	179880 	
0.539 	H 	VS1 	3EX  	176200 	
0.518 	H 	VS1 	3EX  	168820 	
0.511 	H 	VS1 	3EX  	166610 	sold
0.508 	H 	VS2 	3EX  	145230 	
0.579 	H 	SI1 	3EX  	165140 	
0.554 	H 	SI1 	3EX  	158500 	
0.550 	H 	SI1 	3EX  	157030 	
0.505 	H 	SI1 	3EX  	144500 	
0.592 	H 	SI2 	3EX  	161450 	
0.555 	H 	SI2 	3EX  	151130 	
0.528 	H 	SI2 	3EX  	143760 	
0.479 	D 	FL 	3EX  	423160 	
0.482 	D 	IF 	3EX  	281620 	
0.454 	D 	IF 	3EX  	256550 	GIA 
0.443 	D 	IF 	3EX  	249920 	sold
0.436 	D 	IF 	3EX  	246230 	GIA 
0.426 	D 	IF 	3EX  	240330 	GIA 
0.424 	D 	IF 	3EX  	233700 	
0.423 	D 	IF 	3EX  	232960 	sold
0.422 	D 	IF 	3EX  	229270 	
0.412 	D 	IF 	3EX  	224110 	
0.410 	D 	IF 	3EX  	225590 	
0.404 	D 	IF 	3EX  	227800 	sold
0.402 	D 	IF 	3EX  	216000 	
0.401 	D 	IF 	3EX  	223380 	GIA 
0.400 	D 	IF 	3EX  	225590 	GIA 
0.433 	D 	VVS1 	3EX  	179880 	
0.418 	D 	VVS1 	3EX  	170300 	
0.417 	D 	VVS1 	3EX  	173250 	
0.416 	D 	VVS1 	3EX  	172510 	sold
0.415 	D 	VVS1 	3EX  	177670 	GIA 
0.414 	D 	VVS1 	3EX  	171770 	sold
0.412 	D 	VVS1 	3EX  	190940 	sold
0.410 	D 	VVS1 	3EX  	167350 	
0.409 	D 	VVS1 	3EX  	175460 	
0.400 	D 	VVS1 	3EX  	179880 	GIA 
0.400 	D 	VVS1 	3EX  	179880 	GIA 
0.438 	D 	VVS2 	3EX  	179140 	GIA 
0.422 	D 	VVS2 	3EX  	149660 	
0.421 	D 	VVS2 	3EX  	148920 	
0.413 	D 	VVS2 	3EX  	159980 	sold
0.412 	D 	VVS2 	3EX  	168090 	GIA 
