carat colour clarity cut cost fluorescence size certificate
0.604 	F 	VVS2 	3Ex  	290381 	Faint 	5.43-5.46x3.36 	-
0.666 	G 	VVS2 	3Ex  	291070 	None 	5.61-5.63x3.43 	-
0.600 	G 	VVS2 	3Ex  	267907 	Medium 	5.39-5.41x3.34 	GIA
0.615 	D 	VS1 	3Ex  	332398 	None 	5.51-5.53x3.30 	-
0.609 	D 	VS1 	3Ex  	329198 	None 	5.49-5.51x3.32 	-
0.622 	E 	VS1 	3Ex  	298905 	None 	5.50-5.51x3.38 	sold
0.609 	E 	VS1 	3Ex  	292749 	None 	5.54-5.57x3.30 	sold
0.605 	E 	VS1 	3Ex  	290855 	Medium 	5.46-5.48x3.29 	-
0.611 	F 	VS2 	3Ex  	248788 	None 	5.45-5.47x3.36 	sold
0.516 	D 	FL 	3Ex  	627427 	None 	5.15-5.17x3.17 	-
0.594 	D 	IF 	3Ex  	502954 	None 	5.37-5.39x3.35 	GIA
0.574 	D 	IF 	3Ex  	464043 	None 	5.31-5.33x3.30 	GIA
0.545 	D 	IF 	3Ex  	441084 	None 	5.19-5.21x3.26 	GIA
0.505 	D 	IF 	3Ex  	409416 	None 	5.11-5.15x3.14 	GIA
0.588 	D 	VVS1 	3Ex  	372945 	None 	5.40-5.42x3.31 	-
0.585 	D 	VVS1 	3Ex  	376314 	Medium 	5.31-5.34x3.34 	GIA
0.580 	D 	VVS1 	3Ex  	367930 	Medium 	5.35-5.37x3.31 	-
0.574 	D 	VVS1 	3Ex  	369419 	Medium 	5.29-5.32x3.31 	GIA
0.574 	D 	VVS1 	3Ex  	364169 	Strong 	5.36-5.38x3.27 	-
0.569 	D 	VVS1 	3Ex  	361035 	Faint 	5.31-5.33x3.30 	-
0.566 	D 	VVS1 	3Ex  	364404 	Medium 	5.29-5.31x3.28 	GIA
0.563 	D 	VVS1 	3Ex  	357274 	Faint 	5.33-5.36x3.23 	-
0.558 	D 	VVS1 	3Ex  	354139 	None 	5.29-5.31x3.25 	-
0.550 	D 	VVS1 	3Ex  	354375 	None 	5.21-5.23x3.24 	GIA
0.549 	D 	VVS1 	3Ex  	348498 	Medium 	5.26-5.29x3.26 	-
0.545 	D 	VVS1 	3Ex  	351240 	None 	5.25-5.28x3.24 	GIA
0.544 	D 	VVS1 	3Ex  	345363 	None 	5.27-5.28x3.22 	-
0.542 	D 	VVS1 	3Ex  	349360 	None 	5.21-5.23x3.26 	GIA
0.542 	D 	VVS1 	3Ex  	344110 	None 	5.23-5.24x3.22 	-
0.538 	D 	VVS1 	3Ex  	346852 	None 	5.25-5.28x3.22 	GIA
0.537 	D 	VVS1 	3Ex  	340975 	Medium 	5.26-5.32x3.15 	-
0.536 	D 	VVS1 	3Ex  	340349 	Medium 	5.19-5.22x3.22 	-
0.535 	D 	VVS1 	3Ex  	339722 	Faint 	5.22-5.22x3.21 	-
0.534 	D 	VVS1 	3Ex  	339095 	Strong 	5.25-5.27x3.20 	-
0.530 	D 	VVS1 	3Ex  	336588 	Medium 	5.20-5.22x3.20 	-
0.527 	D 	VVS1 	3Ex  	334707 	None 	5.18-5.22x3.19 	-
0.526 	D 	VVS1 	3Ex  	339330 	Medium 	5.14-5.16x3.22 	GIA
0.519 	D 	VVS1 	3Ex  	329692 	None 	5.17-5.19x3.16 	-
0.512 	D 	VVS1 	3Ex  	330554 	Medium 	5.09-5.12x3.18 	GIA
0.501 	D 	VVS1 	3Ex  	318409 	Medium 	5.08-5.11x3.14 	-
0.598 	E 	VVS1 	3Ex  	317051 	Faint 	5.40-5.43x3.33 	-
0.596 	E 	VVS1 	3Ex  	316005 	None 	5.43-5.46x3.30 	-
0.592 	E 	VVS1 	3Ex  	313914 	Medium 	5.33-5.37x3.34 	-
0.583 	E 	VVS1 	3Ex  	295128 	None 	5.39-5.41x3.29 	-
0.573 	E 	VVS1 	3Ex  	290141 	Medium 	5.32-5.35x3.25 	-
0.567 	E 	VVS1 	3Ex  	287148 	Medium 	5.32-5.35x3.26 	-
0.565 	E 	VVS1 	3Ex  	286151 	Medium 	5.34-5.35x3.24 	-
0.564 	E 	VVS1 	3Ex  	285652 	Faint 	5.31-5.33x3.29 	-
0.559 	E 	VVS1 	3Ex  	283158 	None 	5.33-5.35x3.25 	-
0.550 	E 	VVS1 	3Ex  	278670 	Medium 	5.27-5.30x3.25 	-
0.547 	E 	VVS1 	3Ex  	277173 	None 	5.28-5.32x3.25 	-
0.544 	E 	VVS1 	3Ex  	275677 	None 	5.22-5.25x3.22 	-
0.540 	E 	VVS1 	3Ex  	273682 	None 	5.22-5.25x3.23 	-
0.536 	E 	VVS1 	3Ex  	271687 	Medium 	5.23-5.25x3.21 	-
0.525 	E 	VVS1 	3Ex  	266201 	Medium 	5.19-5.21x3.18 	-
0.516 	E 	VVS1 	3Ex  	261712 	None 	5.17-5.20x3.16 	-
0.514 	E 	VVS1 	3Ex  	260715 	None 	5.17-5.19x3.16 	-
0.505 	E 	VVS1 	3Ex  	256226 	None 	5.14-5.17x3.14 	-
0.576 	F 	VVS1 	3Ex  	278936 	Medium 	5.36-5.37x3.28 	-
0.573 	F 	VVS1 	3Ex  	277506 	None 	5.38-5.44x3.25 	-
0.567 	F 	VVS1 	3Ex  	274646 	Faint 	5.28-5.31x3.30 	-
0.565 	F 	VVS1 	3Ex  	273693 	Faint 	5.34-5.36x3.26 	-
0.564 	F 	VVS1 	3Ex  	273216 	None 	5.30-5.33x3.26 	-
0.562 	F 	VVS1 	3Ex  	272262 	Faint 	5.30-5.32x3.27 	-
0.559 	F 	VVS1 	3Ex  	270832 	Faint 	5.33-5.35x3.25 	-
0.557 	F 	VVS1 	3Ex  	269879 	Medium 	5.28-5.30x3.25 	-
0.554 	F 	VVS1 	3Ex  	268449 	Faint 	5.29-5.31x3.25 	-
0.553 	F 	VVS1 	3Ex  	273222 	None 	5.28-5.31x3.25 	GIA
0.553 	F 	VVS1 	3Ex  	267972 	None 	5.26-5.29x3.27 	-
0.549 	F 	VVS1 	3Ex  	266065 	Strong 	5.26-5.29x3.23 	-
0.543 	F 	VVS1 	3Ex  	263205 	Faint 	5.26-5.28x3.21 	-
0.538 	F 	VVS1 	3Ex  	266072 	None 	5.20-5.21x3.22 	GIA
0.537 	F 	VVS1 	3Ex  	260345 	None 	5.22-5.24x3.22 	-
0.535 	F 	VVS1 	3Ex  	264642 	Strong 	5.20-5.21x3.21 	GIA
0.532 	F 	VVS1 	3Ex  	257961 	None 	5.19-5.21x3.20 	-
0.531 	F 	VVS1 	3Ex  	257485 	None 	5.17-5.20x3.19 	-
0.527 	F 	VVS1 	3Ex  	255578 	Strong 	5.17-5.18x3.18 	-
0.527 	F 	VVS1 	3Ex  	255578 	Faint 	5.21-5.22x3.15 	-
0.526 	F 	VVS1 	3Ex  	255101 	Strong 	5.16-5.19x3.18 	-
0.524 	F 	VVS1 	3Ex  	254148 	None 	5.24-5.26x3.16 	-
0.521 	F 	VVS1 	3Ex  	252718 	None 	5.17-5.19x3.17 	-
0.517 	F 	VVS1 	3Ex  	250811 	Faint 	5.17-5.19x3.18 	-
0.513 	F 	VVS1 	3Ex  	248904 	None 	5.16-5.19x3.14 	-
0.512 	F 	VVS1 	3Ex  	248427 	None 	5.18-5.22x3.13 	-
0.509 	F 	VVS1 	3Ex  	246997 	None 	5.17-5.20x3.13 	-
0.508 	F 	VVS1 	3Ex  	246521 	None 	5.11-5.12x3.17 	-
0.506 	F 	VVS1 	3Ex  	245567 	None 	5.10-5.13x3.17 	-
0.596 	D 	VVS2 	3Ex  	331650 	Medium 	5.43-5.46x3.27 	-
0.595 	D 	VVS2 	3Ex  	331101 	Faint 	5.42-5.46x3.32 	-
0.587 	D 	VVS2 	3Ex  	305752 	None 	5.35-5.38x3.30 	-
0.572 	D 	VVS2 	3Ex  	298050 	Medium 	5.31-5.36x3.29 	-
0.563 	D 	VVS2 	3Ex  	293429 	None 	5.30-5.31x3.27 	-
0.562 	D 	VVS2 	3Ex  	292916 	Faint 	5.32-5.34x3.26 	-
0.554 	D 	VVS2 	3Ex  	288808 	Medium 	5.31-5.32x3.23 	-
0.546 	D 	VVS2 	3Ex  	284701 	Faint 	5.27-5.30x3.22 	-
0.535 	D 	VVS2 	3Ex  	279053 	Faint 	5.18-5.20x3.22 	-
0.520 	D 	VVS2 	3Ex  	276601 	Medium 	5.20-5.22x3.15 	GIA
0.520 	D 	VVS2 	3Ex  	271351 	Faint 	5.17-5.19x3.18 	-
0.514 	D 	VVS2 	3Ex  	268270 	Faint 	5.19-5.22x3.14 	-
0.511 	D 	VVS2 	3Ex  	266730 	Faint 	5.15-5.16x3.17 	-
0.510 	D 	VVS2 	3Ex  	266217 	None 	5.07-5.12x3.18 	-
0.504 	D 	VVS2 	3Ex  	263136 	Medium 	5.10-5.13x3.18 	-
0.597 	E 	VVS2 	3Ex  	298977 	None 	5.40-5.42x3.34 	-
0.587 	E 	VVS2 	3Ex  	284796 	None 	5.33-5.38x3.33 	-
0.579 	E 	VVS2 	3Ex  	280974 	Strong 	5.29-5.33x3.31 	-
0.568 	E 	VVS2 	3Ex  	275719 	Medium 	5.32-5.34x3.27 	-
0.562 	E 	VVS2 	3Ex  	272853 	Medium 	5.29-5.31x3.30 	-
0.550 	E 	VVS2 	3Ex  	272370 	Faint 	5.31-5.34x3.18 	GIA
0.541 	E 	VVS2 	3Ex  	262820 	Faint 	5.23-5.27x3.24 	sold
0.538 	E 	VVS2 	3Ex  	261387 	Faint 	5.23-5.25x3.22 	-
0.526 	E 	VVS2 	3Ex  	255654 	Faint 	5.20-5.22x3.19 	-
0.517 	E 	VVS2 	3Ex  	251354 	None 	5.16-5.19x3.16 	-
0.507 	E 	VVS2 	3Ex  	246576 	None 	5.14-5.16x3.15 	-
0.505 	E 	VVS2 	3Ex  	245621 	None 	5.09-5.11x3.18 	sold
0.588 	F 	VVS2 	3Ex  	259343 	None 	5.38-5.40x3.32 	sold
0.571 	F 	VVS2 	3Ex  	251971 	None 	5.37-5.38x3.27 	sold
0.551 	F 	VVS2 	3Ex  	243298 	None 	5.30-5.33x3.21 	sold
0.539 	F 	VVS2 	3Ex  	238094 	None 	5.25-5.28x3.22 	sold
0.522 	F 	VVS2 	3Ex  	230722 	Faint 	5.18-5.19x3.21 	-
0.511 	F 	VVS2 	3Ex  	225952 	None 	5.13-5.16x3.16 	-
0.556 	G 	VVS2 	3Ex  	216860 	None 	5.28-5.31x3.25 	sold
0.547 	G 	VVS2 	3Ex  	213420 	None 	5.26-5.28x3.21 	sold
0.520 	G 	VVS2 	3Ex  	203101 	Faint 	5.17-5.20x3.18 	-
0.598 	D 	VS1 	3Ex  	303865 	None 	5.43-5.45x3.34 	-
0.585 	D 	VS1 	3Ex  	283841 	Medium 	5.33-5.36x3.36 	-
0.576 	D 	VS1 	3Ex  	279541 	Faint 	5.37-5.40x3.29 	-
0.553 	D 	VS1 	3Ex  	268553 	Faint 	5.30-5.32x3.26 	-
0.542 	D 	VS1 	3Ex  	263298 	Faint 	5.26-5.29x3.19 	-
0.595 	E 	VS1 	3Ex  	280497 	None 	5.44-5.47x3.30 	-
0.546 	E 	VS1 	3Ex  	245716 	Strong 	5.24-5.25x3.25 	-
0.562 	F 	VS1 	3Ex  	235676 	Faint 	5.39-5.41x3.23 	sold
0.518 	E 	VS2 	3Ex  	220829 	None 	5.19-5.21x3.18 	-
0.532 	F 	VS2 	3Ex  	208246 	None 	5.22-5.25x3.20 	sold
0.438 	D 	IF 	3Ex  	243696 	None 	4.85-4.86x3.01 	sold
0.418 	D 	IF 	3Ex  	233007 	None 	4.76-4.79x2.98 	GIA
0.413 	D 	IF 	3Ex  	230335 	None 	4.74-4.77x2.98 	sold
0.410 	D 	IF 	3Ex  	228732 	None 	4.78-4.81x2.91 	GIA
0.403 	D 	IF 	3Ex  	224990 	None 	4.71-4.72x2.94 	GIA
0.479 	D 	VVS1 	3Ex  	208052 	None 	5.06-5.08x3.08 	sold
0.457 	D 	VVS1 	3Ex  	203946 	Medium 	4.97-4.99x3.01 	sold
0.443 	D 	VVS1 	3Ex  	192743 	None 	4.93-4.97x3.02 	sold
0.440 	D 	VVS1 	3Ex  	191467 	None 	4.86-4.89x2.99 	-
0.430 	D 	VVS1 	3Ex  	192465 	None 	4.86-4.88x2.95 	sold
0.427 	D 	VVS1 	3Ex  	191189 	Medium 	4.82-4.84x2.98 	GIA
0.426 	D 	VVS1 	3Ex  	185514 	None 	4.84-4.85x2.96 	-
0.422 	D 	VVS1 	3Ex  	189063 	None 	4.85-4.87x2.97 	x
0.420 	D 	VVS1 	3Ex  	188212 	Faint 	4.75-4.78x2.98 	GIA
0.415 	D 	VVS1 	3Ex  	186086 	None 	4.77-4.79x2.93 	GIA
0.411 	D 	VVS1 	3Ex  	179135 	Medium 	4.79-4.81x2.94 	-
0.402 	D 	VVS1 	3Ex  	175308 	None 	4.75-4.77x2.94 	-
0.401 	D 	VVS1 	3Ex  	180132 	Faint 	4.72-4.74x2.89 	GIA
0.400 	D 	VVS1 	3Ex  	179707 	Faint 	4.68-4.71x2.91 	sold
0.486 	E 	VVS1 	3Ex  	183983 	None 	5.07-5.09x3.07 	sold
0.456 	E 	VVS1 	3Ex  	165234 	Faint 	4.99-5.01x3.03 	-
0.428 	E 	VVS1 	3Ex  	155355 	Medium 	4.83-4.86x3.00 	-
0.413 	E 	VVS1 	3Ex  	155313 	None 	4.76-4.79x2.94 	GIA
0.412 	E 	VVS1 	3Ex  	149711 	Faint 	4.77-4.79x2.93 	-
0.411 	E 	VVS1 	3Ex  	149358 	Faint 	4.77-4.79x2.94 	-
0.408 	E 	VVS1 	3Ex  	148299 	None 	4.78-4.81x2.95 	-
0.405 	E 	VVS1 	3Ex  	152491 	Faint 	4.73-4.75x2.93 	GIA
0.425 	F 	VVS1 	3Ex  	136447 	Strong 	4.87-4.89x2.95 	-
0.413 	F 	VVS1 	3Ex  	132717 	None 	4.77-4.80x2.94 	-
0.409 	F 	VVS1 	3Ex  	131474 	Faint 	4.79-4.83x2.93 	-
0.408 	F 	VVS1 	3Ex  	131163 	None 	4.80-4.82x2.90 	-
0.439 	D 	VVS2 	3Ex  	169838 	None 	4.85-4.87x3.01 	sold
0.427 	D 	VVS2 	3Ex  	165315 	None 	4.83-4.86x2.99 	-
0.426 	D 	VVS2 	3Ex  	164938 	None 	4.78-4.81x2.99 	-
0.425 	D 	VVS2 	3Ex  	169811 	Medium 	4.80-4.82x2.98 	GIA
0.416 	D 	VVS2 	3Ex  	161168 	Medium 	4.77-4.78x2.96 	-
0.416 	D 	VVS2 	3Ex  	161168 	Faint 	4.80-4.83x2.96 	-
0.411 	D 	VVS2 	3Ex  	159283 	None 	4.76-4.79x2.95 	-
0.408 	D 	VVS2 	3Ex  	158153 	None 	4.75-4.77x2.92 	-
0.406 	D 	VVS2 	3Ex  	157399 	Faint 	4.76-4.78x2.91 	-
